publish_date,headline_text
20030219,aba decides against community broadcasting licence
20030219,act fire witnesses must be aware of defamation
20030219,a g calls for infrastructure protection summit
20030219,air nz staff in aust strike for pay rise
20030219,air nz strike to affect australian travellers
20030219,ambitious olsson wins triple jump
20030219,antic delighted with record breaking barca
20030219,aussie qualifier stosur wastes four memphis match
20030219,aust addresses un security council over iraq
20030219,australia is locked into war timetable opp
20030219,australia to contribute 10 million in aid to iraq
20030219,barca take record as robson celebrates birthday in
20030219,bathhouse plans move ahead
20030219,big hopes for launceston cycling championship
20030219,big plan to boost paroo water supplies
20030219,blizzard buries united states in bills
20030219,brigadier dismisses reports troops harassed in
20030219,british combat troops arriving daily in kuwait
20030219,bryant leads lakers to double overtime win
20030219,bushfire victims urged to see centrelink
20030219,businesses should prepare for terrorist attacks
20030219,calleri avenges final defeat to eliminate massu
20030219,call for ethanol blend fuel to go ahead
20030219,carews freak goal leaves roma in ruins
20030219,cemeteries miss out on funds
20030219,code of conduct toughens organ donation regulations
20030219,commonwealth bank cuts fixed home loan rates
20030219,community urged to help homeless youth
20030219,council chief executive fails to secure position
20030219,councillor to contest wollongong as independent
20030219,council moves to protect tas heritage garden
20030219,council welcomes ambulance levy decision
20030219,council welcomes insurance breakthrough
20030219,crean tells alp leadership critics to shut up
20030219,dargo fire threat expected to rise
20030219,death toll continues to climb in south korean subway
20030219,dems hold plebiscite over iraqi conflict
20030219,dent downs philippoussis in tie break thriller
20030219,de villiers to learn fate on march 5
20030219,digital tv will become commonplace summit
20030219,direct anger at govt not soldiers crean urges
20030219,dispute over at smithton vegetable processing plant
20030219,dog mauls 18 month old toddler in nsw
20030219,dying korean subway passengers phoned for help
20030219,england change three for wales match
20030219,epa still trying to recover chemical clean up costs
20030219,expressions of interest sought to build livestock
20030219,fed opp to re introduce national insurance
20030219,firefighters contain acid spill
20030219,four injured in head on highway crash
20030219,freedom records net profit for third successive
20030219,funds allocated for domestic violence victims
20030219,funds allocated for youth at risk
20030219,funds announced for bridge work
20030219,funds to go to cadell upgrade
20030219,funds to help restore cossack
20030219,german court to give verdict on sept 11 accused
20030219,gilchrist backs rest policy
20030219,girl injured in head on highway crash
20030219,gold coast to hear about bilby project
20030219,golf club feeling smoking ban impact
20030219,govt is to blame for ethanols unpopularity opp
20030219,greens offer police station alternative
20030219,griffiths under fire over project knock back
20030219,group to meet in north west wa over rock art
20030219,hacker gains access to eight million credit cards
20030219,hanson is grossly naive over nsw issues costa
20030219,hanson should go back where she came from nsw mp
20030219,harrington raring to go after break
20030219,health minister backs organ and tissue storage
20030219,heavy metal deposits survey nearing end
20030219,injured rios pulls out of buenos aires open
20030219,inquest finds mans death accidental
20030219,investigations underway into death toll of korean
20030219,investigation underway into elster creek spill
20030219,iraqs neighbours plead for continued un inspections
20030219,iraq to pay for own rebuilding white house
20030219,irish man arrested over omagh bombing
20030219,irrigators vote over river management
20030219,israeli forces push into gaza strip
20030219,jury to consider verdict in murder case
20030219,juvenile sex offenders unlikely to reoffend as
20030219,kelly disgusted at alleged bp ethanol scare
20030219,kelly not surprised ethanol confidence low
20030219,korean subway fire 314 still missing
20030219,last minute call hands alinghi big lead
20030219,low demand forces air service cuts
20030219,man arrested after central qld hijack attempt
20030219,man charged over cooma murder
20030219,man fined after aboriginal tent embassy raid
20030219,man jailed over keno fraud
20030219,man with knife hijacks light plane
20030219,martin to lobby against losing nt seat in fed
20030219,massive drug crop discovered in western nsw
20030219,mayor warns landfill protesters
20030219,meeting to consider tick clearance costs
20030219,meeting to focus on broken hill water woes
20030219,moderate lift in wages growth
20030219,more than 40 pc of young men drink alcohol at
20030219,more water restrictions predicted for northern tas
20030219,more women urged to become councillors
20030219,most highly educated live in nsw wa
20030219,mp raises hospital concerns in parliament
20030219,mp rejects ambulance levy claims
20030219,mugabe to touch down in paris for summit
20030219,national gallery gets all clear after
20030219,nato gives green light to defend turkey
20030219,nca defends aboriginal tent embassy raid
20030219,new zealand imposes visa entry for zimbabwe
20030219,no side effects for new whooping cough vaccine
20030219,nsw govt under fire for holding back vegetation
20030219,nsw opp defends claims of running race campaign
20030219,nsw opp pledges 50m drought relief
20030219,nt govt boosts nurse number with overseas intake
20030219,nth koreans seek asylum at japanese embassy
20030219,nursing student intake down
20030219,oh brother your times up says ganguly senior
20030219,omodei to stay in politics
20030219,onesteel to invest 80m in whyalla steelworks
